CUI1,CUI2,Prediction
Life Threatening or Disabling Adverse Event,Neonatal leukemia,1
Lymphadenopathy,Acute Undifferentiated Leukemia,1
Very,Metastatic Neoplasm to the Gallbladder,0
Leakage,Liver Cavernous Hemangioma,0
Related personal status,Intracortical osteosarcoma,0
Feelings,Childhood Lymphoma,0
Bluish red color,Deep Leiomyoma,1
SPG21 gene,Mastocytosis,0
Adenocarcinoma,adenoid cystic carcinoma of lung,1
Rate,Intestinal Metaplasia of Bladder Urothelium,0
consider,Atypical Lobular Breast Hyperplasia,1
Binding (Molecular Function),Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Severities,Spongiotic dermatitis,0
Pleura,Diffuse malignant mesothelioma,0
History,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Value Above Reference Range,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Case (situation),Bladder squamous cell carcinoma stage I,0
Same,Adult Alveolar Soft Part Sarcoma,0
Excision,Acantholytic squamous cell carcinoma,1
Females,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Hematopoiesis,Clonal Hematopoiesis of Indeterminate Potential,0
Primary operation,Malignant melanoma of eyelid,0
Used by,Stage IB Pancreatic Cancer AJCC v8,0
Usual,Malignant neoplasm of choroid,0
Center of town,Advanced Uterine Corpus Carcinosarcoma,0
Income,Human Papillomavirus-Related Carcinoma,0
Removed,Testicular cancer metastatic,0
Protons,Mucinous adenocarcinoma gastric,0
Biomaterial Treatment,Malignant Testicular Sertoli Cell Tumor,1
Severe (severity modifier),Primary Cutaneous Plasmablastic Lymphoma,1
Tissue damage,BRCA2 Syndrome,1
Mucinous Adenocarcinoma,mucinous adenocarcinoma of gallbladder,1
Toilet seat,Human Papillomavirus-Related Carcinoma,0
Similarity,Colorectal Neuroendocrine Tumor G2,1
Extrinsic,Childhood Central Nervous System Immature Teratoma,0
Contents,Refractory Barrett Esophagus,0
Similarity,Benign Apocrine Neoplasm,1
Face (spatial concept),Maxillary Sinus Adenocarcinoma,0
Including (qualifier),Uterine Cancer,1
Cover - action,Giant cell angiofibroma,0
Hodgkin Disease,Hodgkin lymphoma,0
Human Cells,Collecting Duct Carcinoma of the Kidney,1
Improvement,Recurrent Testicular Lymphoma,1
Third revision,Noninfiltrating Intraductal Carcinoma,1
Resulting in,Testicular cancer metastatic,0
Ever told by doctor or nurse that you have high blood pressure:Finding:Point in time:^Patient:Ordinal,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Age of onset of symptoms:Time:Pt:^Patient:Qn,Bladder squamous cell carcinoma stage I,0
Process (qualifier value),adenosquamous carcinoma of breast,0
protein expression,Female Breast Carcinoma,0
International Aspects,Blepharal carcinoma,0
Extreme,Recurrent Testicular Lymphoma,0
Multiply - dosing instruction fragment,Stage IB Pancreatic Cancer AJCC v8,0
Pelvic Pain,Undifferentiated Endocervical Sarcoma,1
Manufactured form,Cartilaginous exostosis,0
Death Adverse Event Not Associated with More Specific CTCAE Term NOS,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Entity Determiner - specific,Stage IB Pancreatic Cancer AJCC v8,0
GORAB gene,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
More,Pancreatic Intraepithelial Neoplasia-3,0
Pharmacotherapy,Uterine Cancer,0
Weight measurement scales,Acantholytic squamous cell carcinoma,0
Slow,Hemangioma,0
Malignant lymphoma,Lymphomatous Adult T-Cell Leukemia/Lymphoma,1
Togo,Endometrial Small Cell Carcinoma,0
Structure of isthmus of thyroid gland,Childhood Thyroid Gland Follicular Carcinoma,0
3+ Score,Malignant melanoma of eyelid,1
Skin Specimen,Recurrent Uveal Melanoma,0
Tobacco smoking behavior,Refractory Barrett Esophagus,0
Back,Malignant melanoma of eyelid,0
Human Cells,Testicular cancer metastatic,1
Malignant Vaginal Neoplasm,squamous cell carcinoma of the thyroid gland,0
Mixed Salivary Gland Tumor,Carcinoma ex pleomorphic adenoma of parotid gland,0
Administration procedure,Uterine Cancer,0
Statistical Prevalence,Recurrent Testicular Lymphoma,1
Telephone Extension Number,Rhabdomyosarcoma with ganglionic differentiation,0
Left,mucinous adenocarcinoma of gallbladder,0
Canis familiaris,Angiosarcoma of liver,0
Make - Instruction Imperative,Breast Ductal Adenoma,1
Either,Metastatic Neoplasm to the Gallbladder,0
aspects of adverse effects,Breast Ductal Adenoma,0
Forecast of outcome,mucinous adenocarcinoma of gallbladder,0
Malignant Neoplasms,papillary carcinoma of penis,0
Humor therapy,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
alpha 1-Antitrypsin Deficiency,Adult Hepatocellular Carcinoma,1
Icterus,Pancreatic Intraepithelial Neoplasia-3,0
Percent (qualifier value),Recurrent Diffuse Intrinsic Pontine Glioma,1
Rate,Malignant melanoma of eyelid,0
Worse,FIGO Stage II Ovarian Cancer,1
Malignant Neoplasms,Stage II Fallopian Tube Cancer,0
Only - dosing instruction fragment,Lymphomatous Adult T-Cell Leukemia/Lymphoma,0
Classification of information,Breast Ductal Adenoma,0
Middle,Human Papillomavirus-Related Carcinoma,0
Plasma Product,Digestive System Hodgkin Lymphoma,0
International Classification of Disease for Oncology,Noninfiltrating Intraductal Carcinoma,1
Cancer Registry,Intracortical osteosarcoma,1
Treatment Effectiveness,Female Breast Carcinoma,1
Entity Determiner - specific,Childhood Lymphoma,0
Mutation,Acute Undifferentiated Leukemia,1
year,gliosarcoma,0
Cystadenoma,Serous cystadenocarcinoma ovary,1
Form of bone,Cartilaginous exostosis,0
High Mitosis-Karyorrhexis Index,Diffuse malignant mesothelioma,1
Male population group,Recurrent Uveal Melanoma,0
Proteins,Heavy Chain Deposition Disease,0
Stem of plant,Noninfiltrating Intraductal Carcinoma,0
Common Specifications in HL7 V3 Publishing,adenosquamous carcinoma of breast,0
Affecting,Breast Ductal Adenoma,1
C3 gene,Adult Alveolar Soft Part Sarcoma,1
shared attribute,adenoid cystic carcinoma of lung,1
Frequently,Mucinous adenocarcinoma gastric,0
Capillary vessel,Digestive System Hodgkin Lymphoma,0
mesodermal,Stage II Hepatocellular Carcinoma AJCC v6 and v7,1
Cause of Death,FIGO Stage II Ovarian Cancer,0
Etiology aspects,Recurrent Testicular Lymphoma,0
Associated topography,Testicular cancer metastatic,1
Together,Diffuse malignant mesothelioma,0
Arrested progression,Unresectable Rhabdomyosarcoma,1
Biomaterial Treatment,Bladder squamous cell carcinoma stage I,1
Surgical service,Bladder squamous cell carcinoma stage I,0
How Often Sweats,Malignant Neoplasm with Regional Lymph Node Involvement,0
Decision,Childhood Thyroid Gland Follicular Carcinoma,0
Evidence,Acute Undifferentiated Leukemia,0
pharmacotherapeutic,Acantholytic squamous cell carcinoma,1
shared attribute,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
GDF15 protein,Secondary malignant neoplasm of lymph node,0
BRAF gene,Pilocytic astrocytoma of cerebellum,0
Mother (person),Placental aromatase deficiency,0
Acute leukemia,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Percent of Abnormal Cells,Endometrial Small Cell Carcinoma,1
Anatomic Site,Urethral Carcinoma,0
Different,papillary carcinoma of penis,0
Malignant neoplasm of salivary gland,adenoid cystic carcinoma of lung,0
Three,Digestive System Hodgkin Lymphoma,0
In Situ Follicular Neoplasia,Recurrent Testicular Lymphoma,0
Group A (blood group),Colorectal Neuroendocrine Tumor G2,0
Evidence,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Biological Response Modifiers,Recurrent Uveal Melanoma,1
DNA Microarray Chip,Clonal Hematopoiesis of Indeterminate Potential,0
melanotic,Metastatic Ductal Breast Carcinoma,1
Abnormal Reference Range,Heavy Chain Deposition Disease,0
United States,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Used by,Acute Undifferentiated Leukemia,1
Often - answer to question,Intestinal Neuroendocrine Carcinoma,0
Site of,papillary carcinoma of penis,0
Intention - mental process,Primary Cutaneous Plasmablastic Lymphoma,0
Immune,Unresectable Rhabdomyosarcoma,0
Etiology aspects,Malignant neoplasm of thalamus,0
Exist,Familial Adenomatous Polyposis Associated Medulloblastoma,0
Positive,Metastatic Ductal Breast Carcinoma,1
Certainties,Tonsillar Carcinoma,0
School Grade,Female Breast Carcinoma,0
Smear - instruction imperative,Stage IB Lung Cancer AJCC v7,0
Symptoms,Hemangioma,1
Before,Endometrial Small Cell Carcinoma,0
Process,FIGO Stage II Ovarian Cancer,0
Carcinoma,Carcinoma of urinary bladder,0
Family history,Cancer of Urinary Tract,0
Death Rate,Mucinous adenocarcinoma gastric,0
Sunlight,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Complete Pharyngeal Contraction,Carcinoma of urinary bladder,1
M Protein,Heavy Chain Deposition Disease,0
Treating,Airway Hemangioma,0
Ductal Breast Carcinoma,Female Breast Carcinoma,0
Interferes with,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Histology:Find:Pt:Cancer.XXX:Nar,Recurrent Testicular Lymphoma,0
Spreading (qualifier value),Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Etiology,Airway Hemangioma,0
row - Table,Blepharal carcinoma,0
Autumn,Neonatal leukemia,0
Unmarried person,Clonal Hematopoiesis of Indeterminate Potential,0
Physical shape,Rhabdomyosarcoma with ganglionic differentiation,0
Lymphoma,Malignant Testicular Sertoli Cell Tumor,1
Irritant behavior,Contact dermatitis due to alkali,0
Togo,Cancer of Urinary Tract,0
Decrease,Thymic Clear Cell Carcinoma,1
As Much as Desired,Secondary malignant neoplasm of lymph node,0
Common (qualifier value),Localized Askin Tumor,1
Occurrence Indicator,Giant cell angiofibroma,0
Manufactured form,papillary carcinoma of penis,0
Household composition,Human Papillomavirus-Related Carcinoma,0
Onset of illness,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Tumor cells,Adult Fibrolamellar Carcinoma,0
Drop (unit of presentation),Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Associated with,Giant cell angiofibroma,1
Therapeutic procedure,Airway Hemangioma,0
Increased,Diffuse malignant mesothelioma,1
Experimental Result,Thymic Clear Cell Carcinoma,1
Minor (person),Acute lymphadenitis,0
Mucoepidermoid Carcinoma,Intermediate Grade Salivary Gland Mucoepidermoid Carcinoma,0
Malignant neoplasm of endometrium,Undifferentiated Endocervical Sarcoma,0
Basis - conceptual entity,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,1
Cells,Intestinal Metaplasia of Bladder Urothelium,1
Face,Airway Hemangioma,0
North America,Bladder squamous cell carcinoma stage I,0
Dorsal,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Abnormal Cell Count,Malignant neoplasm of thalamus,0
Ductal Carcinoma,Breast Ductal Adenoma,0
Infection of kidney,Cancer of Urinary Tract,0
Division (surgical procedure),Recurrent Testicular Lymphoma,0
interstitial,Digestive System Hodgkin Lymphoma,0
Pharmacotherapy,Acute Undifferentiated Leukemia,0
Retained,Primary Cutaneous Plasmablastic Lymphoma,0
pre-surgery,Mucinous neoplasm,0
complex (molecular entity),Recurrent Testicular Lymphoma,1
Body part,Bladder squamous cell carcinoma stage I,0
Anterior,benign mature teratoma of pancreas,1
Immunotherapy,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Normal,Undifferentiated Endocervical Sarcoma,1
Used by,Metastatic Carcinoma in the Lung,1
Used by,Cancer of Urinary Tract,0
Table Cell Horizontal Align - left,Acute Undifferentiated Leukemia,1
Cancer Genus,Malignant Testicular Sertoli Cell Tumor,1
SPINK5 gene,Colorectal Neuroendocrine Tumor G2,0
Call (Instruction),Tonsillar Carcinoma,0
High Level,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Childhood Lymphoma,Colorectal High Grade B-Cell Lymphoma,1
Needs,Cancer of Urinary Tract,0
Morphology,Anterior Urethral Malignant Neoplasm,0
Occur (action),Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Virilization,Placental aromatase deficiency,0
Symptoms aspect,papillary carcinoma of penis,1
Formation,FIGO Stage II Ovarian Cancer,1
Death (finding),Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
World,Recurrent Uveal Melanoma,0
Carcinoma,Metastatic Ductal Breast Carcinoma,1
Intravascular line,Epipodophyllotoxin-Related Myelodysplastic Syndrome,0
Neck,Benign neoplasm of thorax,0
Common Cold,Acantholytic squamous cell carcinoma,1
Ancestry-Informative Marker,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Neurofibromatosis 1,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Chemotherapy Regimen,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Malignant neoplasm of lung,adenosquamous carcinoma of breast,0
Squamous cell carcinoma,squamous cell carcinoma of the thyroid gland,0
Patient Discharge,Stage II Carcinoma of Penis,0
Time,Thymic Clear Cell Carcinoma,0
Administration procedure,Intestinal Metaplasia of Bladder Urothelium,0
Cancer Genus,Acute lymphadenitis,1
Symptoms aspect,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Remetinostat,Cartilaginous exostosis,1
Death (finding),adenoid cystic carcinoma of lung,0
Hematologic Tests,Malignant Testicular Sertoli Cell Tumor,0
Contrast,Granular Cell Leiomyosarcoma,0
Mass of body region,Pancreatic Intraepithelial Neoplasia-3,1
Injury due to exposure to external cause,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Ovarian mucinous tumor,mucinous adenocarcinoma of gallbladder,0
Increase,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Symptoms aspect,Mastocytosis,1
Therapeutic radiology procedure,Carcinoma of urinary bladder,0
Circulatory System Process,Digestive System Hodgkin Lymphoma,0
Optical filter,Digestive System Hodgkin Lymphoma,0
Cells,Clonal Hematopoiesis of Indeterminate Potential,1
B-Cell Receptor Complex,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,1
Food,Spongiotic dermatitis,0
Males,Intestinal Metaplasia of Bladder Urothelium,0
Operative Surgical Procedures,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Food,Larynx carcinoma recurrent,0
Post,Metastatic Carcinoma in the Lung,1
low exposure,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Proton pump inhibitors for peptic ulcer and GORD,Refractory Barrett Esophagus,0
Various patch test substance,Extra-Adrenal Paraganglioma,0
Disease remission,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Interstitial Route of Drug Administration,Digestive System Hodgkin Lymphoma,1
High Mitosis-Karyorrhexis Index,BRCA2 Syndrome,1
Apply,Extracranial Neuroblastoma,0
Capsule (unit of presentation),Thymic Clear Cell Carcinoma,0
Male population group,Malignant melanoma of eyelid,0
Tonsil,Recurrent Testicular Lymphoma,0
Concept Relationship,Refractory Barrett Esophagus,0
Age of Onset,Regional Urothelial Carcinoma of the Renal Pelvis and Ureter,0
Cell Device,Female Breast Carcinoma,0
Malignant Neoplasms,Secondary malignant neoplasm of lymph node,0
Body structure,Testicular cancer metastatic,0
Bone Pain,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Most,Leiomyoma of Gallbladder,0
Lymphoma,Unfavorable Non-Hodgkin Lymphoma,1
Approach,Breast Ductal Adenoma,0
Pallor,Maxillary Sinus Adenocarcinoma,0
Antibiotics,Cancer of Urinary Tract,0
Ichthyoses,Ichthyoses,0
Common (qualifier value),Intestinal Metaplasia of Bladder Urothelium,0
Malignant Childhood Neoplasm,Spermatocytic seminoma,1
Specimen Source Codes - Lesion,Cartilaginous exostosis,0
Sunscreening Agents,Malignant melanoma of eyelid,1
Clinical,Acute lymphadenitis,0
Leading,Recurrent Testicular Lymphoma,0
Stem cell transplant,Malignant Testicular Sertoli Cell Tumor,0
Type - attribute,Malignant neoplasm of thalamus,0
Certainties,Carcinoma of urinary bladder,0
Including (qualifier),Intracortical osteosarcoma,1
Cure (remedy),Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Form:Finding:Point in time:{Setting}:Document:{Role},Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
product,Diffuse malignant mesothelioma,0
Layer of dermis,Acantholytic squamous cell carcinoma,1
Lung,Diffuse malignant mesothelioma,0
Type - attribute,Adult Hepatocellular Carcinoma,1
Severe (severity modifier),Breast Ductal Adenoma,1
90%,Acute Undifferentiated Leukemia,0
Occur (action),Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Soft Tissue Route of Drug Administration,Adult Alveolar Soft Part Sarcoma,0
Colloids,Childhood Thyroid Gland Follicular Carcinoma,0
Seizures,Malignant neoplasm of thalamus,0
Rate,Recurrent Uveal Melanoma,0
Associated topography,Benign neoplasm of thorax,0
Calcium Channel Blockers,Refractory Barrett Esophagus,1
radiotherapeutic,Precursor T-lymphoblastic lymphoma/leukemia stage III,1
Body tissue,Stage II Carcinoma of Penis,0
More,Angiosarcoma of liver,0
Illness: Cannot describe symptoms,Cancer of Urinary Tract,0
Apocrine Glands,Benign Apocrine Neoplasm,0
Imaging Techniques,Mucinous adenocarcinoma gastric,0
English [International Organization for Standardization 639-1 code en] language reference set,Leiomyoma of Gallbladder,0
Woman,Uterine Cancer,0
Encounter due to family history of colonic polyps,Familial Adenomatous Polyposis Associated Medulloblastoma,0
Waste Products,Digestive System Hodgkin Lymphoma,0
Example,Testicular cancer metastatic,0
To,Localized Askin Tumor,0
Medical Device Emits Smoke,Intestinal Metaplasia of Bladder Urothelium,0
Mesothelial hyperplasia,Atypical Mesothelial Hyperplasia,0
Lymphatic vessel,Acute lymphadenitis,0
Communicable Diseases,Recurrent Ph-Like Acute Lymphoblastic Leukemia,1
Carcinoma of lung,Stage IB Lung Cancer AJCC v7,0
CD69 protein,Acute Undifferentiated Leukemia,0
Present,Atypical Lobular Breast Hyperplasia,1
Cell Count,FIGO Stage II Ovarian Cancer,1
Regular,Undifferentiated Endocervical Sarcoma,0
Niobium,Primary Cutaneous Plasmablastic Lymphoma,0
*Type - Kind of quantity,Urethral Carcinoma,1
Physical Examination,Malignant Testicular Sertoli Cell Tumor,0
Rare,Adult Fibrolamellar Carcinoma,1
Tryptophanase,Human Papillomavirus-Related Carcinoma,1
Lung,Stage IB Lung Cancer AJCC v7,0
Account number:Identifier:Point in time:^Patient:Nominal,Unfavorable Non-Hodgkin Lymphoma,0
3+ Answer to Question,BRCA2 Syndrome,1
Beginning,Stage IB Pancreatic Cancer AJCC v8,0
Basis,Advanced Uterine Corpus Carcinosarcoma,1
Row (arrangement),Blepharal carcinoma,1
Act Mood - intent,Metastatic Carcinoma in the Lung,0
Hypothalamic structure,Pilocytic astrocytoma of cerebellum,0
Examination,Germinoma,0
radiotherapeutic,Intestinal Metaplasia of Bladder Urothelium,0
seen,Pilocytic astrocytoma of cerebellum,1
Smooth muscle (tissue),Hemangioma,0
associated disease,Maxillary Sinus Adenocarcinoma,1
ADCY10 gene,Diffuse malignant mesothelioma,0
shared attribute,Undifferentiated Endocervical Sarcoma,0
Tumor cells,Heavy Chain Deposition Disease,0
Body site,Testicular cancer metastatic,0
Person Name,Malignant Neoplasm with Regional Lymph Node Involvement,0
Cystadenoma,Benign Apocrine Neoplasm,1
NCI CTEP SDC Renal Cell Carcinoma Sub-Category Terminology,Sarcomatoid Renal Cell Carcinoma,0
How Much Distress Vomiting,Choroid Necrotic Melanoma,1
Used by,Diffuse malignant mesothelioma,0
Microplate Well,Blepharal carcinoma,1
Entity Determiner - specific,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Left sided,Primary Cutaneous Plasmablastic Lymphoma,0
Primary malignant neoplasm,Childhood Central Nervous System Immature Teratoma,0
shared attribute,Colorectal High Grade B-Cell Lymphoma,0
Childhood Gliosarcoma,gliosarcoma,0
Patient Reported Outcome Stem,Noninfiltrating Intraductal Carcinoma,0
Exposure to,Carcinoma of urinary bladder,1
Personal appearance,Breast Ductal Adenoma,1
Reported Term,Pancreatic Intraepithelial Neoplasia-3,0
Skin,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Shapes,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
Rate,Undifferentiated Endocervical Sarcoma,0
High Mitosis-Karyorrhexis Index,Recurrent Uveal Melanoma,1
Moll's gland cyst,Benign Apocrine Neoplasm,0
Leakage,Hemangioma,0
Testis,Recurrent Testicular Lymphoma,0
1930s,Mucinous adenocarcinoma gastric,0
Tissue Specimen Code,Acantholytic squamous cell carcinoma,0
Have Nausea,Unfavorable Non-Hodgkin Lymphoma,0
Qualitative form,Small Lymphocytic Lymphoma with Immunoglobulin Heavy Chain Variable-Region Gene Somatic Hypermutation,0
H/O: malignant neoplasm,Malignant Testicular Sertoli Cell Tumor,0
Neuron spine,Refractory Glioma,0
Response to treatment,papillary carcinoma of penis,0
Current (present time),Noninfiltrating Intraductal Carcinoma,1
Immune,Malignant melanoma of eyelid,0
Malignant neoplasm of pancreas,Pancreatic Intraepithelial Neoplasia-3,0
Northern Europe,Malignant melanoma of eyelid,0
Embryonic tissue,Adult Alveolar Soft Part Sarcoma,0
Free of (attribute),BRCA2 Syndrome,1
Manufactured sign,Mucinous adenocarcinoma gastric,0
Science of genetics,Diffuse malignant mesothelioma,0
Papule,Spongiotic dermatitis,1
Cells,FIGO Stage II Ovarian Cancer,1
Have Been Vomiting,Choroid Necrotic Melanoma,1
Life Expectancy Less than Twenty Years,Pilocytic astrocytoma of cerebellum,1
Characteristics,mucinous adenocarcinoma of gallbladder,1
History of present illness,Recurrent Uveal Melanoma,1
Australia,Digestive System Hodgkin Lymphoma,0
Blood,Digestive System Hodgkin Lymphoma,0
Skin Lymphangiosarcoma,Angiosarcoma of liver,0
Adult Non-Hodgkin Lymphoma,Malignant Neoplasm with Regional Lymph Node Involvement,0
Fasting,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Increased Immunologic Activity [PE],Unresectable Rhabdomyosarcoma,1
Usual Severity Weight Loss,Nodular Lymphocyte Predominant Hodgkin Lymphoma,1
Stomach structure,Colorectal cancer,0
Pharmacotherapy,Carcinoma of urinary bladder,0
include - SetOperator,Malignant neoplasm of thalamus,0
Derivation,Clonal Hematopoiesis of Indeterminate Potential,1
Low Back Pain,Bladder squamous cell carcinoma stage I,1
United States,Acute Undifferentiated Leukemia,0
X-linked inheritance,Ichthyoses,0
Condition:Find:Pt:^Patient:Nom,Recurrent Uveal Melanoma,0
Body structure,Stage III Gastric Neuroendocrine Tumor AJCC v8,0
Purple,Extracranial Neuroblastoma,0
Qualitative form,Metastatic Neoplasm to the Gallbladder,0
Singular,Placental aromatase deficiency,0
Etiology aspects,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Case unit dose,Adult Fibrolamellar Carcinoma,0
Qualitative form,Malignant neoplasm of thalamus,0
High risk,FIGO Stage II Ovarian Cancer,1
Then,Precursor T-lymphoblastic lymphoma/leukemia stage III,0
Similarity,Testicular cancer metastatic,1
Top (position),Larynx carcinoma recurrent,0
Negation,Giant cell angiofibroma,1
point - UnitsOfMeasure,Human Papillomavirus-Related Carcinoma,1
Greatly,Testicular cancer metastatic,0
cell type,Granular Cell Leiomyosarcoma,1
symbol,BRCA2 Syndrome,0
skin color,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Tissue Specimen Code,Intestinal Metaplasia of Bladder Urothelium,0
Filter (function),Digestive System Hodgkin Lymphoma,0
Status post,Acute Undifferentiated Leukemia,1
depend,Spongiotic dermatitis,0
Lung,Colorectal Neuroendocrine Tumor G2,0
1+ Score,Leiomyoma of Gallbladder,1
Arsenic measurement,Digestive System Hodgkin Lymphoma,0
Blue color,Extracranial Neuroblastoma,0
Condition,Pathologic Stage IA Cutaneous Melanoma AJCC v8,0
Frequently,Diffuse malignant mesothelioma,0
Personal appearance,Carcinoma ex pleomorphic adenoma of parotid gland,1
ASIP wt Allele,Adult Alveolar Soft Part Sarcoma,1
World Health Organization,Familial Hemophagocytic Lymphocytosis,0
Study Control,Primary Cutaneous Plasmablastic Lymphoma,0
Acute Undifferentiated Leukemia,Epipodophyllotoxin-Related Myelodysplastic Syndrome,1
Contain (action),papillary carcinoma of penis,0
Relationship by association,BRCA2 Syndrome,0
Pregnancy,Human Papillomavirus-Related Carcinoma,1
Growth action,adenosquamous carcinoma of breast,0
Often - answer to question,Stage I Gastric Neuroendocrine Tumor AJCC v8,0
Divide,Female Breast Carcinoma,0
Family history,Recurrent Uveal Melanoma,0
Skin,Airway Hemangioma,0
Code System Type - Internal,Airway Hemangioma,0
Application (Document),Acantholytic squamous cell carcinoma,0
chapter,Familial Hemophagocytic Lymphocytosis,0
Body structure,Placental aromatase deficiency,0
Primary,Stage IB Lung Cancer AJCC v7,0
Image Feature,Blepharal carcinoma,0
Lymphatic,Testicular cancer metastatic,0
Males,Acantholytic squamous cell carcinoma,0
Skeletal bone,Granular Cell Leiomyosarcoma,0
What subject filter - Result,papillary carcinoma of penis,0
radiotherapeutic,Recurrent Uveal Melanoma,1
Therapeutic radiology procedure,Recurrent Uveal Melanoma,0
Chemotherapy Regimen,Uterine Cancer,0
Case (situation),Pancreatic Intraepithelial Neoplasia-3,0
Neoplasms,Malignant Neoplasm of Lung - Multiple Primary Sites,0
Bacterial Infections,Cancer of Urinary Tract,0
therapeutic aspects,Adult Hepatocellular Carcinoma,0
Parameterized Data Type - Set,Extra-Adrenal Paraganglioma,0
Distant,Malignant melanoma of eyelid,0
Occur (action),Diffuse malignant mesothelioma,0
Contrast Media,Granular Cell Leiomyosarcoma,0
Major <insect>,Female Breast Carcinoma,1
Long Term Survivorship,Primary Cutaneous Plasmablastic Lymphoma,0
Side,Endometrial Small Cell Carcinoma,0
Sometimes,Extracranial Neuroblastoma,0
Fasting Status Indicator,Unfavorable Non-Hodgkin Lymphoma,1
Mass,Anterior Urethral Malignant Neoplasm,1
To,de novo Myelodysplastic Syndrome,1
Involvement with,gliosarcoma,1
Often - answer to question,Stage I Adult Non-Hodgkin Lymphoma,0
Publishing,Leptomeningeal sarcoma,0
Unknown GENC,Adult Alveolar Soft Part Sarcoma,0
Qualitative form,Liver Cavernous Hemangioma,0
Have Sweats,Methotrexate-Associated Hodgkin Lymphoma,1
Case (situation),Precursor T-lymphoblastic lymphoma/leukemia stage III,0
High Mitotic Activity,Angiosarcoma of liver,1
Primary,Tonsillar Carcinoma,1
Parameterized Data Type - Set,Benign neoplasm of thorax,0
Living Alone,Cancer of Urinary Tract,0
Count of entities,Localized Askin Tumor,1
Image Feature,Stage III Gastric Neuroendocrine Tumor AJCC v8,1
NCI CTEP SDC Mastocytosis Sub-Category Terminology,Mastocytosis,0
Tumor type,Choroid Necrotic Melanoma,1
Maintaining (action),BRCA2 Syndrome,0
shared attribute,FIGO Stage II Ovarian Cancer,0
Tumor Mass,Intracortical osteosarcoma,1
User Group,Metastatic Ductal Breast Carcinoma,0
Science of Etiology,Pathologic Stage IA Cutaneous Melanoma AJCC v8,1
Infrequent,Malignant melanoma of eyelid,1
Decision,Intestinal Neuroendocrine Carcinoma,0
Nearly,Human Papillomavirus-Related Carcinoma,1
development aspects,Recurrent Ph-Like Acute Lymphoblastic Leukemia,0
Thoracic Duct,Digestive System Hodgkin Lymphoma,1
health and disease,Noninfiltrating Intraductal Carcinoma,1
Spreading (qualifier value),FIGO Stage II Ovarian Cancer,0
Half,Spermatocytic seminoma,1
Transformation,Familial Adenomatous Polyposis Associated Medulloblastoma,1
Swollen Lymph Node,Acute Undifferentiated Leukemia,0
Dietary Lead,Placental aromatase deficiency,0
Coding,Noninfiltrating Intraductal Carcinoma,0
